Event ID,Operation ID,User ID,Equipment Type,Airport,Operation Time,Op Type,Num Ops,Segment#,Latitude,Longitude,Altitude AFE (ft),Altitude MSL (ft),unit-x,unit-y,unit-z,Segment Length (ft),Ground Track Distance (ft),Ground Speed (kt),Delta Speed (kt),Trajectory Mode,Net Corrected Thrust Per Engine (lb),Duration ,Fuel Burn (lb),CO (lb),THC (lb),TOG (lb),VOC (lb),NMHC (lb),NOx (lb),nvPM Mass (lb),nvPM Number,PMSO (lb),PMFO (lb),CO2 (lb),H2O (lb),SOx (lb),PM 2.5 (lb),PM 10 (lb)
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,25,38.217438,-76.508666,9943.8,9981.8,-0.72525,-0.627469,0.283364,128.6,44871.4,300,0,Terminal Climb,-99,00:00:00.265,1.19,0.19,0,0,0,0,0.04,0.0162,N/A,0,0,3.75,1.47,0,0,0
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,26,38.217207,-76.509004,9981.8,10019.8,-0.756247,-0.654287,0,71000,45000,300,0,Terminal Climb,-99,00:02:20.221,629.85,99.97,1.81,2.09,2.08,2.09,22.84,8.5708,N/A,0.02,0.02,1987.2,779.12,0.49,0.06,0.06
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,27,38.089341,-76.695386,9981.8,10019.8,-0.756247,-0.654287,0,84000,116000,300,0,Terminal Climb,-99,00:02:45.895,745.17,118.27,2.14,2.48,2.46,2.48,27.03,10.1402,N/A,0.03,0.02,2351,921.78,0.58,0.07,0.07
100019,8,,Lockheed C-130 Hercules/T56A16,KNHK,6/30/2022 7:00:00 AM,Approach,1,0,38.093782,-76.0745,5977.8,6015.8,-0.808246,0.586515,-0.052336,725.1,0,210.8,-0.5,Approach,1098.2,00:00:02.043,0.91,0.03,0.02,0.02,0.02,0.02,0,0.0123,N/A,0,0,2.86,1.12,0,0,0
100019,8,,Lockheed C-130 Hercules/T56A16,KNHK,6/30/2022 7:00:00 AM,Approach,1,1,38.094957,-76.076533,5939.8,5977.8,-0.808246,0.586515,-0.052336,19889,725.1,210.3,-14.6,Approach,1096.8,00:00:58.123,25.98,0.84,0.54,0.62,0.62,0.62,0.09,0.3535,N/A,0,0,81.96,32.13,0.02,0,0
100019,8,,Lockheed C-130 Hercules/T56A16,KNHK,6/30/2022 7:00:00 AM,Approach,1,2,38.127179,-76.132344,4897.5,4935.5,-0.808246,0.586515,-0.052336,18273.3,20614.1,195.7,-14.5,Approach,1059.1,00:00:57.518,26.02,0.83,0.53,0.61,0.61,0.61,0.09,0.3541,N/A,0,0,82.09,32.19,0.02,0,0
100019,8,,Lockheed C-130 Hercules/T56A16,KNHK,6/30/2022 7:00:00 AM,Approach,1,3,38.15676,-76.183665,3939.8,3977.8,-0.808246,0.586515,-0.052336,807.9,38887.4,181.2,-0.6,Approach,1021.7,00:00:02.649,1.21,0.04,0.02,0.03,0.03,0.03,0,0.0164,N/A,0,0,3.8,1.49,0,0,0
100019,8,,Lockheed C-130 Hercules/T56A16,KNHK,6/30/2022 7:00:00 AM,Approach,1,4,38.158067,-76.185935,3897.5,3935.5,-0.808246,0.586515,-0.052336,17548.2,39695.2,180.6,-15.1,Approach,1020.1,00:01:00.163,27.54,0.87,0.55,0.64,0.64,0.64,0.1,0.3747,N/A,0,0,86.88,34.06,0.02,0,0
100019,8,,Lockheed C-130 Hercules/T56A16,KNHK,6/30/2022 7:00:00 AM,Approach,1,5,38.186452,-76.23526,2977.8,3015.8,-0.808246,0.586515,-0.052336,14875.8,57243.4,165.5,-12.1,Approach,981,00:00:55.356,25.59,0.8,0.51,0.59,0.58,0.59,0.09,N/A,N/A,0,0,80.75,31.66,0.02,0,0
100019,8,,Lockheed C-130 Hercules/T56A16,KNHK,6/30/2022 7:00:00 AM,Approach,1,6,38.210497,-76.277103,2198.2,2236.2,-0.808246,0.586515,-0.052336,4930.4,72119.2,153.4,-4.3,Approach,1185.5,00:00:19.345,9,0.28,0.18,0.21,0.2,0.21,0.03,N/A,N/A,0,0,28.39,11.13,0.01,0,0
100019,8,,Lockheed C-130 Hercules/T56A16,KNHK,6/30/2022 7:00:00 AM,Approach,1,7,38.218463,-76.290978,1939.8,1977.8,-0.808246,0.586515,-0.052336,8815.5,77049.6,149,-7.8,Approach,1258.8,00:00:36.032,16.83,0.52,0.33,0.38,0.38,0.38,0.06,N/A,N/A,0,0,53.1,20.82,0.01,0,0
100019,8,,Lockheed C-130 Hercules/T56A16,KNHK,6/30/2022 7:00:00 AM,Approach,1,8,38.232703,-76.315793,1477.8,1515.8,-0.808246,0.586515,-0.052336,9540.6,85865.1,141.3,-11.2,Approach,1390,00:00:41.725,19.6,0.6,0.38,0.44,0.44,0.44,0.07,N/A,N/A,0,0,61.84,24.25,0.02,0,0
100019,8,,Lockheed C-130 Hercules/T56A16,KNHK,6/30/2022 7:00:00 AM,Approach,1,9,38.248108,-76.34266,977.8,1015.8,-0.808246,0.586515,-0.052336,18890.3,95405.7,130,-2,Approach,1818.3,00:01:26.834,41.5,1.25,0.8,0.92,0.92,0.92,0.14,N/A,N/A,0,0,130.92,51.33,0.03,0,0
100019,8,,Lockheed C-130 Hercules/T56A16,KNHK,6/30/2022 7:00:00 AM,Approach,1,10,38.278591,-76.39589,-12.2,25.8,-0.808246,0.586515,-0.052336,190.8,114296,128.1,0,Approach,1754.2,00:00:00.884,0.42,0.01,0.01,0.01,0.01,0.01,0,N/A,N/A,0,0,1.33,0.52,0,0,0
