aircraft,aircraft_code,engine,power_code,description,power_1,unit_1,power_2,unit_2,power_3,unit_3,interpolation,operation_type
C-130A&D,M02901,T56-A-9,RM0290111V,LOW IDLE,625.00,C TIT,800.00,IN-LBS,650.00,LBS/HR,VARIABLE,STATIC
C-130A&D,M02901,T56-A-9,RM0290113V,IDLE,560.00,C TIT,1400.00,IN-LBS,780.00,LBS/HR,VARIABLE,STATIC
C-130A&D,M02901,T56-A-9,RM0290130V,TAKEOFF PWR,970.00,C TIT,16800.00,IN-LBS,2000.00,LBS/HR,VARIABLE,STATIC
C-130E,M02902,T56-A-7,RM0290209V,POWER RUNUP,775.00,C TIT,9600.00,IN-LBS,1400.00,LBS/HR,VARIABLE,STATIC
C-130E,M02902,T56-A-7,RM0290211V,LOW IDLE,625.00,C TIT,800.00,IN-LBS,650.00,LBS/HR,VARIABLE,STATIC
C-130E,M02902,T56-A-7,RM0290213V,IDLE,560.00,C TIT,1400.00,IN-LBS,780.00,LBS/HR,VARIABLE,STATIC
C-130E,M02902,T56-A-7,RM0290230V,TAKEOFF PWR,970.00,C TIT,16800.00,IN-LBS,2000.00,LBS/HR,VARIABLE,STATIC
C-130J,M02904,AE2100D3,RM0290409V,POWER RUNUP,775.00,MGT,9600.00,HP,"","",VARIABLE,STATIC
C-130J,M02904,AE2100D3,RM0290411V,LOW IDLE,625.00,MGT,800.00,HP,"","",VARIABLE,STATIC
C-130J,M02904,AE2100D3,RM0290413V,IDLE,560.00,MGT,1400.00,HP,"","",VARIABLE,STATIC
C-130J,M02904,AE2100D3,RM0290430V,TAKEOFF PWR,970.00,MGT,16800.00,HP,"","",VARIABLE,STATIC
C-130H&N&P,M02903,T56-A-15,RM0290309V,POWER RUNUP,775.00,C TIT,9600.00,IN-LBS,1400.00,LBS/HR,VARIABLE,STATIC
C-130H&N&P,M02903,T56-A-15,RM0290311V,LOW IDLE,625.00,C TIT,800.00,IN-LBS,650.00,LBS/HR,VARIABLE,STATIC
C-130H&N&P,M02903,T56-A-15,RM0290313V,IDLE,560.00,C TIT,1400.00,IN-LBS,780.00,LBS/HR,VARIABLE,STATIC
C-130H&N&P,M02903,T56-A-15,RM0290330V,TAKEOFF PWR,970.00,C TIT,16800.00,IN-LBS,2000.00,LBS/HR,VARIABLE,STATIC
C-131B,M03001,R-2800-103W,RM0300108V,MAGNETO CHECK,2050.00,RPM,27.50,IN HG,"","",VARIABLE,STATIC
C-131B,M03001,R-2800-103W,RM0300113V,IDLE,800.00,RPM,13.00,IN HG,"","",VARIABLE,STATIC
C-131B,M03001,R-2800-103W,RM0300115V,TAXI,1000.00,RPM,24.00,IN HG,"","",VARIABLE,STATIC
C-131B,M03001,R-2800-103W,RM0300130V,TAKEOFF PWR,2800.00,RPM,62.00,IN HG,"","",VARIABLE,STATIC
C-135A,M03101,J57-P-59W,RM0310113V,IDLE,62.00,% RPM,1.00,EPR,1100.00,LBS/HR,VARIABLE,STATIC
C-135A,M03101,J57-P-59W,RM0310117V,90 % RPM ENG RUNUP,90.00,% RPM,1.74,EPR,5000.00,LBS/HR,VARIABLE,STATIC
C-135A,M03101,J57-P-59W,RM0310119V,80 % RPM ENG RUNUP,80.00,% RPM,1.25,EPR,2200.00,LBS/HR,VARIABLE,STATIC
C-135A,M03101,J57-P-59W,RM0310131V,MAX PWR,96.00,% RPM,2.34,EPR,8200.00,LBS/HR,VARIABLE,STATIC
C-135B,M03102,TF33-P-5,RM0310207V,TRIM CHECK,97.40,% RPM,1.60,EPR,"","",VARIABLE,STATIC
C-135B,M03102,TF33-P-5,RM0310213V,IDLE,55.00,% RPM,1.05,EPR,"","",VARIABLE,STATIC
C-135B,M03102,TF33-P-5,RM0310217V,90 % RPM ENG RUNUP,90.00,% RPM,1.27,EPR,"","",VARIABLE,STATIC
C-135B,M03102,TF33-P-5,RM0310219V,80 % RPM ENG RUNUP,80.00,% RPM,1.11,EPR,"","",VARIABLE,STATIC
C-135B,M03102,TF33-P-5,RM0310221V,70 % RPM ENG RUNUP,70.00,% RPM,1.06,EPR,"","",VARIABLE,STATIC
C-135B,M03102,TF33-P-5,RM0310231V,MAX PWR,101.00,% RPM,1.80,EPR,"","",VARIABLE,STATIC
KC-135A,M03103,J57-P-59W,RM0310319V,80 % RPM ENG RUNUP,80.00,% RPM,2200.00,LBS/HR,1.22,EPR,VARIABLE,STATIC
KC-135A,M03103,J57-P-59W,RM0310331V,MAX PWR,96.00,% RPM,8550.00,LBS/HR,2.35,EPR,VARIABLE,STATIC
